Link,Make,Miles,Model,Price,Trim,Year
https://www.carvana.com/vehicle/2070012,Cadillac,"76,205",ELR,"$24,990",base,2014
https://www.carvana.com/vehicle/2034460,Audi,"38,866",A5,"$24,590",2.0T Premium,2013
https://www.carvana.com/vehicle/2138222,Chevrolet,"98,011",Camaro,"$17,590",LT,2010
https://www.carvana.com/vehicle/2189337,Audi,"34,019",A5,"$20,990",2.0T Quattro Premium,2010
https://www.carvana.com/vehicle/2043557,BMW,"51,200",4 Series,"$24,990",428i xDrive,2014
https://www.carvana.com/vehicle/2143312,BMW,"83,025",4 Series,"$22,990",428i Gran,2015
https://www.carvana.com/vehicle/2183993,Dodge,"64,660",Challenger,"$23,990",Rallye Redline,2013
https://www.carvana.com/vehicle/2183135,BMW,"68,059",4 Series,"$24,990",428i Gran,2015
https://www.carvana.com/vehicle/2073182,Hyundai,"5,415",Veloster,"$24,990",2.0,2020
https://www.carvana.com/vehicle/2113783,BMW,"31,063",2 Series,"$24,990",228i,2014
https://www.carvana.com/vehicle/1953290,Mercedes-Benz,"72,028",C-Class,"$19,990",C 250,2014
https://www.carvana.com/vehicle/2103464,Mercedes-Benz,"57,448",CLA-Class,"$24,990",CLA 250 4MATIC,2015
https://www.carvana.com/vehicle/2157789,BMW,"71,355",2 Series,"$20,990",228i,2015
https://www.carvana.com/vehicle/2148922,BMW,"53,949",4 Series,"$24,990",428i xDrive,2014
https://www.carvana.com/vehicle/2096643,Chevrolet,"42,049",Camaro,"$21,990",LT,2011
https://www.carvana.com/vehicle/2145101,Chevrolet,"59,066",Camaro,"$20,990",LT,2012
https://www.carvana.com/vehicle/2097687,Audi,"17,992",A5,"$45,590",Premium Plus,2020
https://www.carvana.com/vehicle/2046420,Chevrolet,"63,555",Camaro,"$24,590",LS,2017
https://www.carvana.com/vehicle/2193585,Mercedes-Benz,"21,877",CLA,"$35,590",CLA 250 4MATIC,2019
https://www.carvana.com/vehicle/2081735,Mercedes-Benz,"16,643",CLA,"$35,590",CLA 250 4MATIC,2018
